"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-28 19:47:34",1764359254177,"epaper-glqbpk5tw-adarsh261206s-projects.vercel.app/","GET","",200,"vv4wk-1764359254132-1d0e82761162","vercel-favicon/1.0","info","production","main","","lambda","/","epaper-glqbpk5tw-adarsh261206s-projects.vercel.app","epaper-glqbpk5tw-adarsh261206s-projects.vercel.app","dpl_DHmUyBEkZ9bg2AMHr2K5Vegkx9RU",382,"iad1",126,2048,"","prj_3rl9qdmLuvQcHvqZwbS69Zn7gZ9u","","","01KB603C513R6B31PJKJS3XQHK","Z0l3IkAd6hu2",1
"2025-11-28 19:47:23",1764359243396,"epaper-dbd.vercel.app/api/editions/76/pages","GET","",200,"95pq6-1764359243290-7cd6120a8229","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/editions/[id]/pages","epaper-dbd.vercel.app","epaper-dbd.vercel.app","dpl_DHmUyBEkZ9bg2AMHr2K5Vegkx9RU",22,"iad1",121,2048,"","prj_3rl9qdmLuvQcHvqZwbS69Zn7gZ9u","","","01KB6031M43FC6NTPFD1FD94TY","jOND12FNjlUb",1
"2025-11-28 19:46:53",1764359213715,"epaper-dbd.vercel.app/api/editions/76/pages","GET","",200,"5x7zf-1764359213615-da0b92a14261","curl/8.7.1","info","production","main","","lambda","/api/editions/[id]/pages","epaper-dbd.vercel.app","epaper-dbd.vercel.app","dpl_DHmUyBEkZ9bg2AMHr2K5Vegkx9RU",24,"iad1",121,2048,"","prj_3rl9qdmLuvQcHvqZwbS69Zn7gZ9u","","","01KB6024MKQFQCBVN856B23NHN","jOND12FNjlUb",1
"2025-11-28 19:46:48",1764359208180,"epaper-dbd.vercel.app/api/editions/76/pages","GET","",200,"lpsh2-1764359208071-1848ef839c64","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/editions/[id]/pages","epaper-dbd.vercel.app","epaper-dbd.vercel.app","dpl_DHmUyBEkZ9bg2AMHr2K5Vegkx9RU",22,"iad1",121,2048,"","prj_3rl9qdmLuvQcHvqZwbS69Zn7gZ9u","","","01KB601Z7M01879D2AHBCADKJH","jOND12FNjlUb",1
"2025-11-28 19:46:46",1764359206995,"epaper-dbd.vercel.app/api/editions/76/pages","GET","",200,"8pffl-1764359206888-2a8bb60d47b2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/editions/[id]/pages","epaper-dbd.vercel.app","epaper-dbd.vercel.app","dpl_DHmUyBEkZ9bg2AMHr2K5Vegkx9RU",111,"iad1",121,2048,"","prj_3rl9qdmLuvQcHvqZwbS69Zn7gZ9u","","","01KB601Y2KZ5SH499JPWH6Q9PS","jOND12FNjlUb",1
"2025-11-28 19:46:43",1764359203345,"epaper-dbd.vercel.app/epaper/view/76","GET","",200,"6972p-1764359203213-b7cbe0c1018a","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/epaper/view/[editionId]","epaper-dbd.vercel.app","epaper-dbd.vercel.app","dpl_DHmUyBEkZ9bg2AMHr2K5Vegkx9RU",9,"iad1",126,2048,"","prj_3rl9qdmLuvQcHvqZwbS69Zn7gZ9u","","","01KB601TGH1E4JKPNYG18N7EQ6","Z0l3IkAd6hu2",1
"2025-11-28 19:46:43",1764359203217,"epaper-dbd.vercel.app/admin/system/settings","GET","",200,"c4kcg-1764359203213-a12e5330cf14","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","epaper-dbd.vercel.app","epaper-dbd.vercel.app","dpl_DHmUyBEkZ9bg2AMHr2K5Vegkx9RU",-1,"bom1",-1,-1,"","prj_3rl9qdmLuvQcHvqZwbS69Zn7gZ9u","","","01KB601TCHXF1XVM6S1Q0DY6XQ","npOmp3to1BKr",-1
"2025-11-28 19:46:43",1764359203216,"epaper-dbd.vercel.app/admin/system/redirects","GET","",200,"cpszz-1764359203213-04d8ec3a0773","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","epaper-dbd.vercel.app","epaper-dbd.vercel.app","dpl_DHmUyBEkZ9bg2AMHr2K5Vegkx9RU",-1,"bom1",-1,-1,"","prj_3rl9qdmLuvQcHvqZwbS69Zn7gZ9u","","","01KB601TCG1ZM1XNBF6B7QERFQ","bPF7lRuFvttc",-1
"2025-11-28 19:46:43",1764359203216,"epaper-dbd.vercel.app/admin/super-admin/logs","GET","",200,"8r257-1764359203214-b175e23ebcdc","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","epaper-dbd.vercel.app","epaper-dbd.vercel.app","dpl_DHmUyBEkZ9bg2AMHr2K5Vegkx9RU",-1,"bom1",-1,-1,"","prj_3rl9qdmLuvQcHvqZwbS69Zn7gZ9u","","","01KB601TCG1ZM1XNBF6C24J74M","Lb8flapcbwY5",-1
"2025-11-28 19:46:43",1764359203215,"epaper-dbd.vercel.app/admin/menus","GET","",200,"8pffl-1764359203213-c70240d1daef","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","epaper-dbd.vercel.app","epaper-dbd.vercel.app","dpl_DHmUyBEkZ9bg2AMHr2K5Vegkx9RU",-1,"bom1",-1,-1,"","prj_3rl9qdmLuvQcHvqZwbS69Zn7gZ9u","","","01KB601TCFXFWEVXMVNKFJX4DH","2nhIkpMiBmNf",-1
"2025-11-28 19:46:43",1764359203170,"epaper-dbd.vercel.app/admin/users","GET","",200,"8pffl-1764359203166-cd77bf09ce5b","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","edge-middleware","/middleware","epaper-dbd.vercel.app","epaper-dbd.vercel.app","dpl_DHmUyBEkZ9bg2AMHr2K5Vegkx9RU",-1,"bom1",-1,-1,"","prj_3rl9qdmLuvQcHvqZwbS69Zn7gZ9u","","","01KB601TB2RX6HQ3DZ60Y5WJP8","bPF7lRuFvttc",-1
